Target,Marital status,Application mode,Application order,Course,Daytime/evening attendance	=0,Daytime/evening attendance	=1,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced=0,Displaced=1,Educational special needs=0,Educational special needs=1,Debtor=0,Debtor=1,Tuition fees up to date=0,Tuition fees up to date=1,Gender=0,Gender=1,Scholarship holder=0,Scholarship holder=1,Age at enrollment,International=0,International=1,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Graduate,1.356,1.163,0.207,-0.40839,1,0,-0.350,-2.4732,-0.126,0.925,0.764,-0.415,-0.437,-1.8631,0,1,1,0,1,0,0,1,1,0,1,0,2.338,1,0,-0.301,-0.109,0.168,0.095,0.239346,-0.199,0.239,-0.106,0.491,-0.476,0.0837702,1.127,-1.489,0.992,0.1401
Graduate,-0.295,1.392,0.207,0.14072,0,1,-0.350,-0.1982,-0.126,0.925,0.960,-0.074,-0.080,-0.5855,0,1,1,0,1,0,0,1,0,1,1,0,-0.035,1,0,1.818,1.504,2.561,1.064,0.203212,1.248,1.803,1.716,2.011,1.846,0.182643,3.781,-1.489,0.992,0.1401
Dropout,-0.295,1.392,0.207,0.18483,0,1,-0.350,-0.2740,-0.126,0.925,0.504,-0.415,-0.239,-0.5579,0,1,1,0,1,0,0,1,0,1,1,0,-0.167,1,0,-0.301,-0.109,0.646,-1.521,-2.1971,-0.199,-0.282,-0.561,0.491,-1.472,-1.96349,-0.199,-0.813,-1.467,-1.3755
Dropout,-0.295,-0.095,0.207,0.10340,0,1,-0.350,-0.4257,-0.126,1.118,0.960,-0.074,-0.080,-0.5302,0,1,0,1,1,0,0,1,0,1,0,1,0.229,1,0,-0.301,-0.109,-0.072,-0.228,-0.0806963,-0.199,-0.282,-0.106,-0.523,-0.145,0.19573,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,1.392,-0.554,0.54977,1,0,-0.350,0.5602,-0.126,1.118,0.960,-0.074,-0.080,0.6092,0,1,1,0,1,0,0,1,0,1,1,0,0.229,1,0,5.631,3.520,1.843,3.327,0.0328669,-0.199,6.494,3.538,1.504,3.173,0.216294,-0.199,-0.813,-1.467,-1.3755
Graduate,-0.295,1.964,-0.554,-4.20952,0,1,3.663,-0.1982,-0.126,-1.190,-0.213,-0.074,-0.080,0.2087,0,1,1,0,1,0,1,0,0,1,0,1,-0.167,1,0,1.818,2.310,1.604,2.034,0.393266,-0.199,1.803,2.171,2.011,2.178,0.467631,-0.199,-1.001,0.124,1.5456
Enrolled,-0.295,1.163,-0.554,0.07093,0,1,-0.350,0.0369,0.597,-1.190,-1.387,6.854,5.264,0.1949,1,0,1,0,1,0,0,1,0,1,1,0,0.097,0,1,-0.301,0.294,-0.311,0.741,0.605108,-0.199,-0.282,-0.106,0.237,0.187,0.60838,-0.199,-1.001,0.124,1.5456
Dropout,-0.295,1.163,-0.554,0.11067,0,1,-0.252,0.5602,-0.126,1.182,1.025,-0.074,-0.041,1.5899,1,0,1,0,1,0,0,1,0,1,1,0,3.128,1,0,-0.301,-0.109,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.106,-2.043,-1.472,-1.96349,-0.199,1.740,-0.671,-0.4062
Dropout,1.356,1.163,-0.554,0.54977,1,0,1.412,0.0369,-0.126,1.118,0.960,-0.226,-0.239,-1.0413,0,1,1,0,1,0,0,1,0,1,1,0,2.338,1,0,-0.301,-0.512,-0.790,-1.521,-2.1971,-0.199,-0.282,-0.561,-0.776,-1.472,-1.96349,-0.199,-1.489,0.992,0.1401
Graduate,-0.295,1.163,-0.554,0.07093,0,1,-0.350,-0.9565,-0.126,1.118,0.960,-0.074,-0.080,1.5968,0,1,1,0,1,0,0,1,0,1,1,0,2.601,1,0,-0.301,-0.109,0.168,0.418,0.854193,-0.199,-0.282,-0.106,0.744,0.187,0.378064,-0.199,0.876,-1.105,0.3472
Dropout,-0.295,1.163,-0.554,0.07093,0,1,-0.350,0.0369,-0.126,-1.190,0.960,-0.074,-0.120,0.2087,1,0,1,0,1,0,0,1,0,1,1,0,0.756,1,0,-0.301,-1.319,-1.029,-1.521,-2.1971,-0.199,-0.282,-1.017,-0.016,-1.472,-1.96349,-0.199,1.740,-0.671,-0.4062
Dropout,-0.295,1.163,0.207,0.12715,0,1,-0.350,-0.9565,-0.126,1.118,0.960,-0.226,-0.239,0.0706,1,0,1,0,1,0,0,1,0,1,1,0,0.888,1,0,-0.301,-1.722,-1.507,-1.521,-2.1971,-0.199,-0.282,-1.927,-1.536,-1.472,-1.96349,-0.199,-1.489,0.992,0.1401
Dropout,-0.295,1.163,0.207,0.14072,0,1,3.272,0.0369,-0.126,-0.036,1.025,-0.074,-0.080,-1.6904,1,0,1,0,1,0,1,0,0,1,1,0,0.360,1,0,-0.301,-0.916,-1.029,-1.521,-2.1971,-0.199,-0.282,-0.561,-2.043,-1.472,-1.96349,-0.199,0.426,1.788,-0.7499
Dropout,-0.295,1.163,0.207,0.54977,1,0,-0.350,0.0369,-0.126,-0.036,1.025,-0.074,-0.080,-1.6904,1,0,1,0,1,0,1,0,0,1,1,0,0.492,1,0,-0.301,-0.512,0.407,-1.521,-2.1971,-0.199,-0.282,-0.561,-0.776,-1.472,-1.96349,-0.199,1.477,1.137,-1.7897
Graduate,1.356,1.163,0.207,0.39420,0,1,-0.350,-2.4732,-0.126,1.118,0.960,-0.074,-0.080,-1.1725,1,0,1,0,1,0,0,1,0,1,0,1,1.679,1,0,-0.301,-0.512,-0.790,0.095,0.156754,-0.199,-0.282,-0.561,-0.269,0.187,0.262905,-0.199,-0.813,-1.467,-1.3755
Dropout,-0.295,1.163,-0.554,0.07093,0,1,1.412,0.0369,-0.126,-1.190,-0.213,-0.264,-0.041,-0.8963,1,0,1,0,1,0,0,1,0,1,1,0,0.756,1,0,0.970,1.101,1.125,0.418,0.211815,-0.199,0.760,0.350,0.491,0.519,0.120328,-0.199,1.477,1.137,-1.7897
Dropout,-0.295,1.335,-0.554,0.12715,0,1,-0.350,-0.9565,-0.126,0.925,0.764,-0.415,-0.437,0.0844,0,1,1,0,1,0,0,1,0,1,1,0,1.547,1,0,2.241,1.504,0.886,0.741,0.133157,-0.199,0.760,0.805,-0.016,0.187,0.531608,-0.199,-0.813,-1.467,-1.3755
Graduate,-0.295,-1.011,-0.554,0.44412,0,1,-0.350,-0.3498,-0.126,1.182,1.025,-0.188,-0.318,-0.7236,1,0,1,0,1,0,0,1,0,1,0,1,-0.694,1,0,-0.301,-0.109,0.886,-0.228,0.177402,-0.199,-0.282,-0.106,0.491,0.187,0.454836,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,-1.011,-0.554,0.54977,1,0,-0.350,2.9868,-0.126,1.182,0.960,-0.074,-0.080,1.5415,1,0,1,0,1,0,0,1,0,1,0,1,0.097,1,0,-0.301,-0.512,-0.790,0.095,1.10656,-0.199,-0.282,-0.561,-0.776,0.187,1.1074,-0.199,-1.001,0.124,1.5456
Dropout,-0.295,-1.011,0.968,0.44412,0,1,-0.350,1.0152,-0.126,1.182,1.025,-0.074,-0.160,0.4918,0,1,1,0,1,0,0,1,0,1,0,1,-0.694,1,0,-0.301,-0.109,-0.550,0.418,0.383881,-0.199,-0.282,-0.106,-0.269,0.519,0.467631,-0.199,-0.288,0.124,0.7658
Enrolled,-0.295,-0.095,1.730,0.12715,0,1,-0.350,0.1810,-0.126,1.182,0.960,-0.226,-0.160,-0.0261,0,1,1,0,1,0,0,1,0,1,1,0,-0.694,1,0,-0.301,-0.512,-0.311,-0.228,0.280641,-0.199,-0.282,-0.561,0.491,-0.476,0.531608,3.781,-1.489,0.992,0.1401
Enrolled,1.356,1.392,-0.554,0.11067,0,1,-0.350,2.0768,-0.126,1.118,0.960,-0.074,-0.160,-0.4819,1,0,1,0,1,0,0,1,0,1,1,0,-0.299,1,0,-0.301,-0.512,0.646,-1.521,-2.1971,2.696,-0.282,-0.561,0.744,-0.476,0.275701,1.127,-0.813,-1.467,-1.3755
Graduate,-0.295,1.335,-0.554,0.12715,0,1,-0.350,1.3185,-0.126,1.182,0.960,-0.226,-0.120,0.4504,0,1,1,0,1,0,0,1,0,1,1,0,-0.299,1,0,-0.301,-0.512,0.407,0.095,0.48712,-0.199,-0.282,-0.561,0.491,0.187,0.454836,-0.199,-0.813,-1.467,-1.3755
Graduate,-0.295,1.163,-0.554,0.07093,0,1,-0.350,-0.1982,-0.126,-1.190,-1.256,-0.339,-0.199,-1.1725,1,0,1,0,1,0,0,1,0,1,1,0,1.151,1,0,3.089,4.730,4.475,2.681,0.634605,1.248,3.367,2.627,2.517,2.509,0.355672,-0.199,1.477,1.137,-1.7897
Dropout,-0.295,-1.011,1.730,0.12715,0,1,-0.350,-1.6390,-0.126,1.118,0.960,-0.074,-0.239,-1.3451,0,1,1,0,1,0,0,1,0,1,0,1,-0.167,1,0,-0.301,-0.512,0.168,-0.552,0.349468,-0.199,-0.282,-0.106,1.504,-0.476,0.435643,-0.199,-0.175,-0.454,0.8891
Dropout,-0.295,-0.667,-0.554,0.07093,0,1,-0.154,-0.1982,-0.126,-1.190,1.025,-0.074,-0.160,0.2087,0,1,1,0,1,0,1,0,0,1,1,0,1.151,1,0,4.360,4.327,5.433,2.034,0.430808,5.591,4.930,2.627,4.037,1.846,0.474029,1.127,1.477,1.137,-1.7897
Dropout,-0.295,1.392,-0.554,0.39420,0,1,0.139,2.8352,-0.126,0.925,0.764,-0.415,-0.437,-1.0620,1,0,1,0,1,0,0,1,0,1,1,0,1.547,1,0,0.123,-0.512,-0.790,-1.198,0.693599,-0.199,-0.282,-0.561,-0.776,-1.472,-1.96349,-0.199,-0.813,-1.467,-1.3755
Dropout,-0.295,-0.038,0.968,0.14072,0,1,-0.350,0.0369,-0.126,-1.190,1.025,-0.264,-0.160,-1.7940,0,1,1,0,1,0,1,0,0,1,1,0,-0.035,1,0,-0.301,-0.512,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.561,-2.043,-1.472,-1.96349,-0.199,-1.001,0.124,1.5456
Enrolled,-0.295,1.163,-0.554,-0.40839,1,0,-0.350,-2.4732,-0.126,1.118,0.960,-0.188,-0.199,-1.2899,1,0,1,0,1,0,0,1,0,1,1,0,2.074,1,0,-0.301,-0.109,-0.072,0.095,0.156754,-0.199,0.239,-0.106,0.997,-0.476,0.147747,1.127,-1.489,0.992,0.1401
Dropout,1.356,1.392,-0.554,0.39420,0,1,-0.350,-0.9565,-0.126,0.925,0.764,-0.415,-0.437,0.0844,1,0,1,0,1,0,0,1,0,1,1,0,1.547,1,0,-0.301,-0.512,-0.790,-1.521,-2.1971,-0.199,-0.282,-0.561,-0.776,-1.140,-0.0441835,-0.199,-0.813,-1.467,-1.3755
Graduate,1.356,1.163,-0.554,0.07093,0,1,-0.154,-1.7148,-0.126,-1.062,-0.213,-0.264,-0.199,1.5899,1,0,1,0,1,0,0,1,0,1,1,0,1.151,1,0,-0.301,-0.109,-0.072,0.418,1.70018,-0.199,2.845,2.627,1.504,2.509,1.43221,-0.199,1.740,-0.671,-0.4062
Dropout,-0.295,-1.011,-0.554,0.48289,0,1,-0.350,0.0369,-0.126,0.925,0.764,-0.415,-0.437,1.0926,1,0,1,0,1,0,0,1,0,1,1,0,-0.430,1,0,-0.301,-0.109,0.886,-1.521,-2.1971,-0.199,-0.282,-0.106,0.997,-1.472,-1.96349,-0.199,-1.489,0.992,0.1401
Enrolled,-0.295,1.163,-0.554,0.31180,0,1,-0.350,-0.9565,-0.126,1.118,0.960,-0.074,-0.080,-1.8631,1,0,1,0,1,0,0,1,0,1,1,0,1.415,1,0,-0.301,0.294,1.604,0.418,0.142989,-0.199,-0.282,0.350,2.011,-0.145,0.454836,-0.199,1.740,-0.671,-0.4062
Dropout,-0.295,-0.667,-0.554,0.54977,1,0,3.468,1.3185,-0.126,1.118,0.960,-0.188,-0.199,1.5899,0,1,1,0,1,0,0,1,0,1,1,0,2.733,1,0,0.970,0.294,0.168,0.741,0.590359,-0.199,-0.282,-0.561,-0.523,0.187,1.14579,-0.199,-1.001,0.124,1.5456
Graduate,1.356,1.163,-0.554,0.19258,0,1,1.412,0.0369,-0.126,1.118,-0.213,-0.074,-0.041,2.0388,1,0,1,0,1,0,0,1,0,1,1,0,3.919,1,0,2.665,1.907,0.886,-0.875,0.900077,9.934,1.803,1.261,0.491,-0.476,-0.0441835,5.108,1.740,-0.671,-0.4062
Dropout,-0.295,1.163,-0.554,0.12715,0,1,1.412,-0.9565,-0.126,1.118,0.960,-0.074,-0.278,-1.9598,1,0,1,0,0,1,1,0,0,1,1,0,0.624,1,0,-0.301,-0.512,0.407,-1.521,-2.1971,-0.199,-0.282,-0.561,-0.269,-1.472,-1.96349,-0.199,0.313,-0.527,0.7878
Dropout,-0.295,-0.667,-0.554,0.54977,1,0,-0.154,-0.1982,-0.126,1.118,0.960,-0.074,-0.080,0.2087,1,0,1,0,1,0,0,1,0,1,1,0,1.019,1,0,3.512,1.101,0.168,1.388,0.739483,-0.199,2.324,-0.561,-0.776,0.187,0.493222,-0.199,0.426,1.788,-0.7499
Enrolled,-0.295,-1.011,-0.554,-4.20952,0,1,-0.350,-0.1982,-0.126,-1.190,1.025,-0.226,-0.080,-0.6131,1,0,1,0,0,1,1,0,0,1,1,0,-0.694,1,0,-0.301,-2.529,-1.986,-1.521,-2.1971,-0.199,-0.282,-2.838,-2.043,-1.472,-1.96349,-0.199,-0.813,-1.467,-1.3755
Dropout,-0.295,1.163,-0.554,0.07093,0,1,-0.350,-2.4732,-0.126,-1.190,-1.256,-0.074,-0.041,-0.4819,1,0,1,0,0,1,1,0,0,1,1,0,2.733,1,0,0.547,0.294,1.364,-0.228,0.280641,2.696,-0.282,-0.106,2.011,-1.472,-1.96349,1.127,1.477,1.137,-1.7897
Graduate,-0.295,-1.011,-0.554,0.11067,0,1,-0.350,0.7118,-0.126,-1.190,-1.387,-0.074,-0.080,0.0499,0,1,1,0,1,0,0,1,0,1,1,0,-0.562,1,0,-0.301,-0.512,0.168,0.095,0.404529,1.248,-0.282,-0.561,-0.016,-0.145,0.339678,-0.199,0.426,1.788,-0.7499
Enrolled,-0.295,-0.210,-0.554,-4.20952,0,1,-0.350,-0.1982,3.490,-1.190,-1.387,-0.339,-0.080,0.2087,1,0,1,0,1,0,0,1,0,1,1,0,-0.299,0,1,2.241,2.310,0.886,2.357,0.917284,-0.199,1.803,2.171,1.757,2.178,0.547602,-0.199,-1.001,0.124,1.5456
Dropout,-0.295,-0.038,-0.554,0.12715,0,1,-0.350,1.1668,-0.126,-1.062,-0.213,-0.301,-0.239,1.4310,1,0,1,0,1,0,0,1,0,1,0,1,-0.694,1,0,-0.301,-0.512,-0.790,-1.521,-2.1971,-0.199,-0.282,-0.561,-0.776,-1.472,-1.96349,-0.199,-0.813,-1.467,-1.3755
Graduate,-0.295,1.449,-0.554,0.07093,0,1,3.370,2.8352,-0.126,-0.036,-0.213,-0.226,-0.239,2.9710,0,1,1,0,1,0,0,1,0,1,1,0,-0.430,1,0,-0.301,-0.109,-0.072,0.418,0.796838,-0.199,-0.282,-0.106,0.491,0.519,0.973048,-0.199,1.740,-0.671,-0.4062
Graduate,-0.295,1.163,-0.554,0.10340,0,1,-0.350,-1.7148,-0.126,1.118,0.960,-0.150,-0.160,-1.1587,1,0,1,0,1,0,0,1,0,1,1,0,4.183,1,0,-0.301,-0.109,-0.550,0.418,0.796838,-0.199,-0.282,-0.106,-0.523,0.519,0.627573,-0.199,-0.175,-0.454,0.8891
Enrolled,-0.295,-1.011,-0.554,0.14072,0,1,-0.350,2.5318,-0.126,-0.036,0.960,-0.264,-0.120,1.3413,1,0,1,0,1,0,0,1,0,1,1,0,0.492,1,0,-0.301,-0.512,0.886,-0.552,-0.132316,-0.199,-0.282,-0.561,0.997,-1.140,0.531608,-0.199,-1.489,0.992,0.1401
Dropout,-0.295,-0.095,0.207,0.12715,0,1,-0.350,0.1810,-0.126,-0.485,-0.213,-0.226,-0.239,-0.4128,1,0,1,0,1,0,0,1,0,1,1,0,-0.562,1,0,-0.301,-0.512,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.561,-2.043,-1.472,-1.96349,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,-1.011,-0.554,0.14072,0,1,-0.350,0.0293,-0.126,-0.036,0.960,-0.074,-0.080,0.2018,1,0,1,0,1,0,0,1,0,1,1,0,-0.694,1,0,-0.301,-0.512,-0.790,0.095,0.19805,-0.199,-0.282,-0.561,-0.776,0.187,0.569994,-0.199,0.313,-0.527,0.7878
Dropout,1.356,1.163,-0.554,0.44412,0,1,-0.350,0.0369,-0.126,1.118,0.960,-0.150,-0.278,0.3468,1,0,1,0,1,0,0,1,0,1,1,0,2.601,1,0,-0.301,-0.109,0.407,-0.228,0.229022,-0.199,-0.282,-0.106,-0.269,-1.472,-1.96349,-0.199,1.477,1.137,-1.7897
Dropout,-0.295,-0.038,0.968,0.19258,0,1,-0.350,-0.8807,-0.126,-0.036,-0.213,-0.074,-0.199,-0.0745,0,1,1,0,1,0,0,1,0,1,1,0,-0.694,1,0,-0.301,-0.109,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.106,-2.043,-1.472,-1.96349,-0.199,0.876,-1.105,0.3472
Dropout,-0.295,-1.011,-0.554,-4.20952,0,1,-0.350,2.0010,-0.126,-1.062,-1.256,-0.339,-0.358,2.6741,0,1,1,0,1,0,0,1,0,1,1,0,-0.694,1,0,-0.301,-2.529,-1.986,-1.521,-2.1971,-0.199,-0.282,-2.838,-2.043,-1.472,-1.96349,-0.199,-0.813,-1.467,-1.3755
Dropout,-0.295,-0.095,2.491,0.19258,0,1,-0.350,-0.1982,-0.126,1.118,1.025,-0.074,-0.080,-0.2954,0,1,1,0,0,1,0,1,0,1,0,1,-0.430,1,0,-0.301,-0.109,-0.311,-1.521,-2.1971,-0.199,-0.282,-0.106,-0.523,-1.472,-1.96349,-0.199,-1.001,0.124,1.5456
Dropout,1.356,1.163,-0.554,0.54977,1,0,-0.350,-0.8807,-0.126,1.118,-0.213,-0.074,-0.080,0.9960,1,0,1,0,0,1,1,0,0,1,1,0,0.756,1,0,-0.301,-0.512,-0.311,-0.228,0.125782,-0.199,-0.282,-0.561,-0.016,-0.145,0.301291,-0.199,-0.288,0.124,0.7658
Dropout,-0.295,1.163,-0.554,0.13248,0,1,1.412,0.0369,-0.126,1.118,0.960,-0.074,-0.041,2.0318,0,1,1,0,0,1,0,1,0,1,1,0,2.733,1,0,-0.301,-0.109,0.168,0.095,0.19215,-0.199,-0.282,-0.106,0.744,-1.472,-1.96349,-0.199,0.876,-1.105,0.3472
Enrolled,-0.295,-1.011,-0.554,0.12715,0,1,-0.350,1.0152,-0.126,1.118,0.960,-0.074,-0.080,1.4863,0,1,1,0,1,0,0,1,0,1,1,0,-0.694,1,0,-0.301,-0.512,-0.311,-0.228,-0.132316,-0.199,-0.282,-0.561,-0.016,-1.140,1.1074,-0.199,-0.288,0.124,0.7658
Enrolled,-0.295,1.449,-0.554,0.07093,0,1,3.370,0.5602,-0.126,1.118,0.960,-0.074,-0.397,0.8993,1,0,1,0,1,0,0,1,0,1,0,1,-0.430,1,0,-0.301,-0.109,0.646,0.095,0.659185,-0.199,-0.282,-0.106,1.251,0.519,0.397257,-0.199,1.477,1.137,-1.7897
Dropout,-0.295,1.392,-0.554,0.10340,0,1,-0.350,-0.5773,-0.126,1.182,0.960,-0.112,-0.160,0.3261,0,1,1,0,1,0,0,1,0,1,1,0,-0.430,1,0,0.970,-0.109,-0.550,-0.228,0.4355,-0.199,1.281,1.261,0.997,-0.476,0.467631,-0.199,0.313,-0.527,0.7878
Dropout,1.356,1.163,0.207,0.14072,0,1,-0.350,-0.9565,-0.126,1.118,0.960,-0.074,-0.080,-1.5385,0,1,1,0,1,0,0,1,0,1,1,0,1.679,1,0,-0.301,-0.916,-1.029,-1.521,-2.1971,-0.199,-0.282,-0.561,0.237,-1.472,-1.96349,-0.199,-0.288,0.124,0.7658
Enrolled,-0.295,1.449,-0.554,0.13248,0,1,3.370,1.3185,-0.126,-0.933,-1.387,-0.339,-0.239,1.5899,0,1,1,0,1,0,0,1,0,1,1,0,-0.562,1,0,0.123,-0.109,1.125,0.095,0.19805,-0.199,0.239,-0.106,0.997,-0.808,0.147747,-0.199,0.876,-1.105,0.3472
Dropout,1.356,1.163,-0.554,0.11067,0,1,1.412,-1.7148,-0.126,1.118,0.960,2.992,3.126,-1.1725,1,0,1,0,1,0,1,0,0,1,1,0,0.756,1,0,-0.301,-0.512,-0.790,-1.521,-2.1971,-0.199,-0.282,-0.561,-0.776,-1.472,-1.96349,-0.199,0.426,1.788,-0.7499
Dropout,-0.295,-1.011,-0.554,0.39420,0,1,-0.350,-0.9565,-0.126,-1.190,-1.387,-0.074,-0.080,0.1465,0,1,1,0,1,0,0,1,0,1,1,0,-0.694,1,0,-0.301,-0.109,-0.550,-0.228,0.125782,-0.199,-0.282,-0.106,0.491,-0.476,0.0197933,-0.199,-0.288,0.124,0.7658
Dropout,-0.295,1.163,-0.554,0.07093,0,1,-0.350,0.0369,-0.126,-1.190,-1.387,-0.377,-0.199,-0.4819,1,0,1,0,1,0,1,0,0,1,1,0,0.097,1,0,-0.301,-0.109,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.106,-2.043,-1.472,-1.96349,-0.199,0.876,-1.105,0.3472
Graduate,-0.295,-1.011,-0.554,0.44412,0,1,-0.350,0.0369,-0.126,-1.062,-0.213,-0.339,-0.239,0.0015,1,0,1,0,1,0,0,1,0,1,1,0,-0.430,1,0,-0.301,-0.109,-0.550,0.418,0.762425,-0.199,-0.282,-0.106,-0.269,0.519,0.915469,-0.199,1.477,1.137,-1.7897
Dropout,1.356,1.163,-0.554,-0.40839,1,0,1.412,0.0369,-0.126,-0.036,0.960,-0.074,-0.080,1.6935,1,0,1,0,0,1,1,0,0,1,1,0,2.865,1,0,-0.301,-0.109,-0.311,-1.521,-2.1971,-0.199,-0.282,-0.561,-0.776,-1.472,-1.96349,-0.199,1.740,-0.671,-0.4062
Graduate,-0.295,1.392,0.207,0.31180,0,1,-0.350,-0.1982,-0.126,1.182,0.960,-0.264,-0.278,-0.0123,0,1,1,0,1,0,0,1,0,1,0,1,0.624,1,0,7.326,6.746,3.518,4.943,0.590359,4.144,9.101,7.637,3.784,5.163,0.627573,3.781,-1.489,0.992,0.1401
Enrolled,-0.295,-1.011,-0.554,0.19258,0,1,-0.350,2.0768,-0.126,-0.036,1.025,-0.074,-0.080,0.9545,0,1,1,0,1,0,0,1,0,1,1,0,-0.035,1,0,-0.301,-0.109,-0.072,0.418,0.418294,-0.199,-0.282,-0.106,0.491,0.187,0.378064,-0.199,-1.489,0.992,0.1401
Graduate,-0.295,-1.011,-0.554,0.31180,0,1,-0.350,-0.3498,-0.126,-1.190,-0.213,-0.264,-0.160,-0.0952,0,1,1,0,1,0,0,1,0,1,1,0,-0.694,1,0,-0.301,0.294,-0.311,0.741,0.372377,-0.199,-0.282,0.805,0.744,0.851,0.214374,-0.199,0.313,-0.527,0.7878
Dropout,-0.295,-1.011,0.207,0.14072,0,1,-0.350,0.5602,-0.126,-0.036,-0.213,-0.074,-0.278,0.0568,0,1,1,0,1,0,0,1,0,1,1,0,-0.035,1,0,-0.301,-0.512,-0.311,-0.552,0.00533646,1.248,-0.282,-0.561,-0.269,-0.476,0.211724,-0.199,-0.813,-1.467,-1.3755
Enrolled,-0.295,1.392,-0.554,-4.20952,0,1,-0.350,-0.9565,-0.126,-1.062,-1.256,-0.339,-0.358,-0.4819,0,1,1,0,1,0,0,1,0,1,1,0,-0.167,1,0,-0.301,-2.529,-1.986,-1.521,-2.1971,-0.199,-0.282,-2.838,-2.043,-1.472,-1.96349,-0.199,-1.489,0.992,0.1401
Graduate,-0.295,-1.011,-0.554,0.10340,0,1,-0.350,0.5602,-0.126,-0.036,-0.213,-0.226,-0.239,0.2985,1,0,1,0,1,0,0,1,0,1,0,1,-0.167,1,0,0.123,-0.109,-0.550,0.418,0.418294,-0.199,0.239,-0.106,-0.523,0.187,0.41645,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,1.163,-0.554,0.54977,1,0,0.727,-0.9565,-0.126,1.118,1.025,-0.226,-0.239,1.9835,1,0,1,0,1,0,0,1,0,1,1,0,1.283,1,0,-0.301,-0.512,-0.790,0.095,0.528416,-0.199,-0.282,-0.561,-0.523,0.187,0.883481,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,1.964,-0.554,0.07093,0,1,3.663,-0.1982,-0.126,-1.190,1.025,-0.074,-0.199,0.1051,1,0,1,0,1,0,0,1,0,1,1,0,-0.299,1,0,2.665,2.310,2.800,1.711,0.425176,-0.199,2.324,2.627,1.504,2.178,0.374574,-0.199,-1.001,0.124,1.5456
Graduate,1.356,1.163,-0.554,0.14072,0,1,-0.350,-2.4732,-0.126,1.118,0.960,-0.074,-0.239,2.9710,1,0,1,0,1,0,0,1,0,1,1,0,2.865,1,0,-0.301,-0.512,-0.550,0.095,0.865664,-0.199,-0.282,-0.561,-0.776,0.187,0.877083,-0.199,1.477,1.137,-1.7897
Dropout,1.356,1.163,-0.554,0.07093,0,1,-0.350,0.0369,-0.126,1.118,0.960,-0.074,-0.080,-1.8631,1,0,1,0,1,0,1,0,0,1,1,0,2.733,1,0,1.394,1.504,0.407,-0.228,0.177402,-0.199,0.239,0.350,-0.016,-1.140,0.339678,-0.199,1.477,1.137,-1.7897
Dropout,4.658,1.163,-0.554,0.39420,0,1,-0.350,-1.7148,-0.126,-0.036,-0.213,2.992,3.482,-1.3659,1,0,1,0,1,0,0,1,0,1,1,0,2.469,1,0,-0.301,-0.109,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.106,-2.043,-1.472,-1.96349,-0.199,0.426,1.788,-0.7499
Dropout,-0.295,-0.038,-0.554,0.14072,0,1,-0.350,1.0910,-0.126,-0.036,-1.387,-0.074,-0.160,0.8509,0,1,1,0,1,0,0,1,0,1,1,0,-0.430,1,0,-0.301,-0.512,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.561,-2.043,-1.472,-1.96349,-0.199,0.313,-0.527,0.7878
Enrolled,-0.295,-0.095,3.252,0.14072,0,1,-0.350,0.0293,-0.126,-0.036,1.025,-0.226,-0.199,-0.2609,0,1,1,0,1,0,0,1,0,1,1,0,-0.430,1,0,-0.301,-0.512,-0.311,-0.552,0.418294,1.248,-0.282,-0.561,0.997,-0.808,0.435643,-0.199,-0.813,-1.467,-1.3755
Graduate,-0.295,-1.011,0.207,0.19258,0,1,-0.350,0.3327,-0.126,-1.190,1.025,-0.339,-0.120,-0.3231,0,1,1,0,1,0,0,1,0,1,0,1,-0.430,1,0,-0.301,-0.109,-0.311,0.418,0.841083,-0.199,-0.282,-0.106,-0.523,0.519,0.435643,-0.199,-1.001,0.124,1.5456
Enrolled,-0.295,-0.095,0.207,0.44412,0,1,-0.350,-0.6532,-0.126,-1.190,-1.387,-0.264,-0.278,0.0637,0,1,1,0,1,0,0,1,0,1,1,0,-0.430,1,0,-0.301,-0.109,0.646,-0.552,0.624772,-0.199,-0.282,-0.106,1.251,-0.145,0.00379913,-0.199,-0.813,-1.467,-1.3755
